node_number,Latitude,Longitude
1,37.756826,-122.386783
2,38.036822,-121.896796
3,37.69209,-121.596416
4,37.788735,-122.289346
5,37.788735,-122.289346
6,37.728547,-121.564558
7,38.77318,-120.69883
8,40.053008,-121.179333
9,37.220359,-119.3379
10,37.148627,-119.386591
11,40.534458,-121.959144
12,38.203307,-120.07609
13,40.007508,-121.249465
14,36.759636,-120.36587
15,39.814785,-122.330191
16,40.850178,-123.984442
17,39.215943,-120.803394
18,36.922143,-119.984616
19,40.91522,-121.61312
20,40.908047,-121.640143
21,38.584814,-122.533429
22,38.223532,-121.023815
23,38.223532,-121.023815
24,38.223532,-121.023815
25,36.432688,-120.341658
26,40.085484,-121.14815
27,40.085484,-121.14815
28,40.085484,-121.14815
29,37.746,-121.721
30,38,-121.75
31,40.734769,-121.958123
32,37.971492,-122.058325
33,37.882133,-120.452108
34,37.106833,-120.248666
35,39.2001,-123.183449
36,37.847008,-122.228651
37,40.65611,-122.01667
38,38.774391,-123.017343
39,39.871825,-121.611943
40,37.944495,-121.321243
41,35.494989,-119.268227
42,32.971568,-113.488692
43,34.491534,-118.61946
44,33.76304,-118.095189
45,33.76304,-118.095189
46,33.76304,-118.095189
47,33.76304,-118.095189
48,35.026009,-118.297559
49,35.026009,-118.297559
50,33.853693,-117.856063
51,35.811645,-119.455485
52,35.981599,-120.087424
53,35.955188,-120.049529
54,35.981599,-120.087424
55,34.786999,-118.432173
56,34.783831,-118.428458
57,33.808298,-117.983557
58,33.808298,-117.983557
59,37.220359,-119.3379
60,37.148627,-119.386591
61,36.759636,-120.36587
62,35.317691,-118.989796
63,35.62162,-119.849998
64,34.6816,-118.3248
65,33.610588,-114.598465
66,36.922143,-119.984616
67,33.294577,-116.356612
68,34.125987,-118.147862
69,33.275166,-116.36621
70,35.06105,-118.32651
71,35.06105,-118.32651
72,33.914818,-116.634676
73,33.91,-116.562
74,32.737323,-116.080096
75,33.355962,-112.841714
76,32.707046,-117.2444
77,35.194427,-119.542174
78,36.432688,-120.341658
79,33.857428,-117.861383
80,33.857428,-117.861383
81,33.857428,-117.861383
82,33.857428,-117.861383
83,33.480753,-117.626863
84,33.775941,-118.228072
85,32.857777,-117.028616
86,32.857777,-117.028616
87,32.857777,-117.028616
88,34.936871,-118.37345
89,35.330773,-119.915969
90,33.928097,-118.10451
91,33.975,-118.12361
92,32.95944,-117.11444
93,33.998362,-117.67827
94,33.998362,-117.67827
95,34.036919,-117.558679
96,33.965684,-117.659272
97,34.048,-117.578
98,34.040491,-117.60594
99,37.106833,-120.248666
100,33.989578,-117.680894
101,33.897995,-117.557096
102,40.301495,-121.244323
103,36.180698,-120.388529
104,38.032242,-119.220595
105,37.766496,-119.122571
106,37.645073,-118.91426
107,37.646393,-118.909262
108,39.966859,-117.855773
109,36.27922,-115.026036
110,36.092009,-119.886341
111,36.092009,-119.886341
112,38.045,-120.945
113,37.830405,-120.806964
114,40.879114,-121.670188
115,40.57056,-122.01944
116,37.290333,-119.526014
117,37.282697,-120.266246
118,37.368915,-121.944432
119,37.401127,-121.968529
120,37.401092,-121.968678
121,37.401092,-121.968678
122,36.763117,-121.734717
123,36.713837,-121.767661
124,35.35464,-119.667293
125,38.678272,-121.775154
126,38.5,-121.694
127,38.5,-121.694
128,36.240845,-120.323168
129,36.138919,-119.894727
130,35.440761,-119.012943
131,38.246564,-120.033947
132,37.352,-120.507
133,38.79346,-120.619145
134,38.79346,-120.619145
135,37.187903,-120.489666
136,35.563127,-119.203854
137,37.967186,-120.38772
138,35.232966,-119.580259
139,37.746609,-121.625648
140,37.715586,-121.614719
141,39.550973,-121.278656
142,38.020727,-122.066585
143,39.108835,-121.609455
144,36.999112,-119.704606
145,39.057661,-120.409074
146,38.126646,-120.462218
147,40.16694,-123.22361
148,40.196492,-123.618048
149,39.348898,-123.122078
150,36.145276,-120.085003
151,36.130228,-120.137972
152,36.548719,-120.338608
153,38.65755,-121.137095
154,33.891124,-117.609293
155,33.891124,-117.609293
156,33.928097,-118.10451
157,33.947381,-118.086469
158,33.947082,-118.086463
159,34.536121,-117.292816
160,34.189675,-116.092011
161,34.173123,-116.152914
162,33.680828,-117.069899
163,33.680828,-117.069899
164,33.680828,-117.069899
165,33.680828,-117.069899
166,33.680828,-117.069899
167,33.680828,-117.069899
168,33.680828,-117.069899
169,33.680828,-117.069899
170,33.680828,-117.069899
171,33.680828,-117.069899
172,33.680828,-117.069899
173,33.680828,-117.069899
174,32.878648,-117.197148
175,32.797178,-116.971815
176,33.685339,-117.943098
177,33.896498,-118.372523
178,33.909628,-118.424646
179,34.075283,-117.517116
180,34.083323,-117.516744
181,34.091108,-117.528331
182,34.091108,-117.528331
183,34.142747,-117.426859
184,34.155,-117.39639
185,34.155,-117.39639
186,34.092026,-117.436378
187,34.044,-117.531
188,34.089826,-117.527454
189,33.907719,-116.632742
190,33.900243,-116.548339
191,34.126198,-118.149286
192,34.126198,-118.149286
193,34.126198,-118.149286
194,34.126198,-118.149286
195,33.118489,-117.099163
196,38.65755,-121.137095
197,36.529,-121.415
198,36.092009,-119.886341
199,39.374178,-121.681023
200,37.879476,-122.253816
201,39.052428,-121.69252
202,36.914447,-121.811369
203,40.550615,-123.145068
204,36.22196,-119.677324
205,36.239813,-119.904186
206,36.239813,-119.904186
207,36.270392,-119.647374
208,36.270392,-119.647374
209,38.957047,-121.042009
210,40.275,-121.09028
211,41.15972,-122.09917
212,38.99889,-121.02109
213,38.99889,-121.02109
214,38.925855,-122.543961
215,38.180851,-122.279656
216,38.139216,-121.800157
217,38.139216,-121.800157
218,40.797305,-122.762506
219,36.86098,-121.42904
220,36.86098,-121.42904
221,36.199901,-120.090313
222,38.309827,-120.991206
223,38.077519,-122.54074
224,35.62162,-119.849998
225,37.188038,-120.650779
226,39.576291,-121.305431
227,36.210834,-119.816471
228,36.224835,-121.124809
229,40.0945,-123.55834
230,37.092459,-119.552834
231,37.092459,-119.552834
232,37.092459,-119.552834
233,37.070339,-119.559785
234,35.44846,-119.733585
235,40.677862,-121.873151
236,36.547166,-119.578579
237,36.888088,-119.159552
238,35.45998,-118.779091
239,40.294381,-120.997129
240,39.276222,-121.661406
241,38.137221,-121.144495
242,38.146508,-121.300577
243,40.433253,-123.472778
244,35.787738,-114.972025
245,36.861745,-120.338528
246,36.689967,-119.740373
247,36.689967,-119.740373
248,37.749343,-122.483627
249,36.610776,-119.639181
250,37.522206,-120.310053
251,37.522546,-120.329341
252,37.265851,-120.481219
253,37.265851,-120.484908
254,37.736299,-121.650132
255,37.220716,-121.745605
256,37.220716,-121.745605
257,37.220716,-121.745605
258,37.605589,-122.39143
259,37.415385,-121.888362
260,37.777347,-122.413872
261,37.777347,-122.413872
262,38.513877,-122.104001
263,38.513877,-122.104001
264,38.513877,-122.104001
265,36.806004,-121.775038
266,38.139216,-121.800157
267,35.280659,-119.47286
268,40.150178,-122.212407
269,38.14961,-120.814973
