MYDATE,HOUR,NODE_ID,MW
1/4/2012,9,N1,1.91961465
1/4/2012,9,S1,51.03678981
1/4/2012,10,N1,0.35083758
1/4/2012,10,S1,56.47899045
1/4/2012,11,N1,0.374598726
1/4/2012,11,S1,41.27927389
1/4/2012,12,N1,0.089410828
1/4/2012,12,S1,39.02234395
1/4/2012,13,N1,1.334805732
1/4/2012,13,S1,32.25856051
1/4/2012,14,N1,6.107414013
1/4/2012,14,S1,26.26194904
1/4/2012,15,N1,19.88768153
1/4/2012,15,S1,21.03810191
1/4/2012,16,N1,51.18271019
1/4/2012,16,S1,19.06604459
1/4/2012,17,N1,81.84333758
1/4/2012,17,S1,18.95352866
1/4/2012,18,N1,96.16237261
1/4/2012,18,S1,18.50729936
1/4/2012,19,N1,113.0715701
1/4/2012,19,S1,18.8896051
1/4/2012,20,N1,91.1388121
1/4/2012,20,S1,18.85788535
1/4/2012,21,N1,83.07627707
1/4/2012,21,S1,23.19075159
1/4/2012,22,N1,68.18735032
1/4/2012,22,S1,24.15398408
1/4/2012,23,N1,103.0164459
1/4/2012,23,S1,23.26284395
1/5/2012,1,N1,140.8134395
1/5/2012,1,S1,29.25870701
1/5/2012,2,N1,138.7187389
1/5/2012,2,S1,27.18755414
1/5/2012,3,N1,135.2742739
1/5/2012,3,S1,26.44498726
1/5/2012,4,N1,141.101758
1/5/2012,4,S1,27.87445223
1/5/2012,5,N1,154.4583854
1/5/2012,5,S1,37.67782166
1/5/2012,6,N1,115.1653694
1/5/2012,6,S1,51.7196242
1/5/2012,7,N1,88.7343949
1/5/2012,7,S1,48.86301274
1/5/2012,8,N1,78.09339172
1/5/2012,8,S1,40.46494904
1/5/2012,9,N1,43.49232484
1/5/2012,9,S1,49.9741051
1/5/2012,11,N1,8.147398089
1/5/2012,11,S1,54.64733758
1/5/2012,12,N1,10.23325478
1/5/2012,12,S1,44.12024841
1/5/2012,13,N1,73.95821019
1/5/2012,13,S1,25.43122293
1/5/2012,14,N1,125.582879
1/5/2012,14,S1,19.36661146
1/5/2012,15,N1,82.42390446
1/5/2012,15,S1,25.80643312
1/5/2012,16,N1,103.3727452
1/5/2012,16,S1,147.580293
1/5/2012,17,N1,64.91173567
1/5/2012,17,S1,256.245449
1/5/2012,18,N1,51.71306688
1/5/2012,18,S1,224.2515191
1/5/2012,19,N1,34.28012739
1/5/2012,19,S1,187.693172
1/5/2012,20,N1,23.21548089
1/5/2012,20,S1,226.8796146
1/5/2012,21,N1,28.23344268
1/5/2012,21,S1,264.282121
1/5/2012,22,N1,41.22407962
1/5/2012,22,S1,361.4806338
1/5/2012,23,N1,45.59506688
1/5/2012,23,S1,411.8689873
1/6/2012,1,N1,82.58356051
1/6/2012,1,S1,367.190051
1/6/2012,2,N1,86.02407962
1/6/2012,2,S1,367.750379
1/6/2012,3,N1,168.3308599
1/6/2012,3,S1,347.0367452
1/6/2012,4,N1,222.6846752
1/6/2012,4,S1,281.8789682
1/6/2012,5,N1,274.519207
1/6/2012,5,S1,235.605914
1/6/2012,6,N1,265.4488376
1/6/2012,6,S1,183.2492006
1/6/2012,7,N1,268.9923025
1/6/2012,7,S1,162.9592102
1/6/2012,8,N1,268.4770924
1/6/2012,8,S1,200.7045096
1/6/2012,9,N1,200.1743631
1/6/2012,9,S1,214.6183949
1/6/2012,10,N1,162.3343439
1/6/2012,10,S1,242.2821465
1/6/2012,11,N1,151.2804427
1/6/2012,11,S1,238.2560191
1/6/2012,12,N1,95.16110191
1/6/2012,12,S1,165.2797898
1/6/2012,13,N1,25.62164331
1/6/2012,13,S1,103.7422261
1/6/2012,14,N1,16.04460828
1/6/2012,14,S1,89.72281529
1/6/2012,15,N1,24.17039172
1/6/2012,15,S1,65.51732803
1/6/2012,16,N1,35.69167197
1/6/2012,16,S1,76.84951274
1/6/2012,17,N1,12.40573885
1/6/2012,17,S1,91.60530892
1/6/2012,18,N1,6.233156051
1/6/2012,18,S1,92.48664013
1/6/2012,19,N1,8.043984076
1/6/2012,19,S1,88.6700828
1/6/2012,20,N1,13.41654459
1/6/2012,20,S1,86.9628949
1/6/2012,21,N1,6.667601911
1/6/2012,21,S1,93.56722611
1/6/2012,22,N1,4.698375796
1/6/2012,22,S1,98.53336306
1/6/2012,23,N1,-0.997920382
1/6/2012,23,S1,92.30017834
1/7/2012,1,N1,2.139640127
1/7/2012,1,S1,114.0048439
1/7/2012,2,N1,6.289098726
1/7/2012,2,S1,140.4770573
1/7/2012,3,N1,2.191882166
1/7/2012,3,S1,107.6376911
1/7/2012,4,N1,6.040436306
1/7/2012,4,S1,126.9368726
1/7/2012,5,N1,7.451783439
1/7/2012,5,S1,132.7253185
1/7/2012,6,N1,10.73285032
1/7/2012,6,S1,150.4358567
1/7/2012,7,N1,9.459433121
1/7/2012,7,S1,106.9949076
1/7/2012,8,N1,5.403993631
1/7/2012,8,S1,109.9957898
1/7/2012,9,N1,4.69739172
1/7/2012,9,S1,117.8370446
1/7/2012,10,N1,4.918506369
1/7/2012,10,S1,98.62915924
1/7/2012,11,N1,11.45484395
1/7/2012,11,S1,206.1028567
1/7/2012,12,N1,19.5335828
1/7/2012,12,S1,365.7128631
1/7/2012,13,N1,24.63667516
1/7/2012,13,S1,461.9637866
1/7/2012,14,N1,26.40861783
1/7/2012,14,S1,541.0912834
1/7/2012,15,N1,25.03161783
1/7/2012,15,S1,574.833258
1/7/2012,16,N1,28.72777707
1/7/2012,16,S1,454.8005064
1/7/2012,17,N1,23.28313057
1/7/2012,17,S1,363.2960987
1/7/2012,18,N1,19.69099682
1/7/2012,18,S1,337.0529045
1/7/2012,19,N1,17.59382803
1/7/2012,19,S1,350.831172
1/7/2012,20,N1,29.47102229
1/7/2012,20,S1,462.514949
1/7/2012,21,N1,31.68026115
1/7/2012,21,S1,431.9022994
1/7/2012,22,N1,29.75741083
1/7/2012,22,S1,367.7950096
1/7/2012,23,N1,23.72453503
1/7/2012,23,S1,460.3016624
1/7/2012,24,N1,21.09784713
1/7/2012,24,S1,398.0255701
1/9/2012,1,N1,48.94963057
1/9/2012,1,S1,22.39778025
1/9/2012,2,N1,87.28301274
1/9/2012,2,S1,12.2938758
1/9/2012,3,N1,33.29532803
1/9/2012,3,S1,9.63039172
1/9/2012,4,N1,31.88999045
1/9/2012,4,S1,8.222703822
1/9/2012,5,N1,54.07395223
1/9/2012,5,S1,7.663732484
1/9/2012,6,N1,52.56169108
1/9/2012,6,S1,9.916812102
1/9/2012,7,N1,42.32699363
1/9/2012,7,S1,7.812124204
1/9/2012,8,N1,47.54692038
1/9/2012,8,S1,8.658394904
1/9/2012,9,N1,118.2779777
1/9/2012,9,S1,7.383487261
1/9/2012,10,N1,106.8180446
1/9/2012,10,S1,2.167257962
1/9/2012,11,N1,50.0514172
1/9/2012,11,S1,0.991812102
1/9/2012,12,N1,20.56237261
1/9/2012,12,S1,8.377847134
1/9/2012,13,N1,9.512675159
1/9/2012,13,S1,23.52833121
1/9/2012,14,N1,20.37031847
1/9/2012,14,S1,46.87920382
1/9/2012,15,N1,17.76464013
1/9/2012,15,S1,27.87167516
1/9/2012,16,N1,16.90390127
1/9/2012,16,S1,42.29105096
1/9/2012,17,N1,5.591296178
1/9/2012,17,S1,46.05184713
1/9/2012,18,N1,8.587302548
1/9/2012,18,S1,40.4163949
1/9/2012,19,N1,8.959640127
1/9/2012,19,S1,29.53642675
1/9/2012,20,N1,0.698878981
1/9/2012,20,S1,32.06164968
1/9/2012,21,N1,-1.221522293
1/9/2012,21,S1,34.1261465
1/9/2012,22,N1,2.201038217
1/9/2012,22,S1,31.13608917
1/9/2012,23,N1,3.019050955
1/9/2012,23,S1,35.57412739
1/9/2012,24,N1,3.826923567
1/9/2012,24,S1,39.89526115
1/10/2012,1,N1,14.30309236
1/10/2012,1,S1,65.31088217
1/10/2012,2,N1,17.47695223
1/10/2012,2,S1,81.04973885
1/10/2012,3,N1,22.75748408
1/10/2012,3,S1,109.1891338
1/10/2012,4,N1,17.4187293
1/10/2012,4,S1,105.3306688
1/10/2012,5,N1,30.46646815
1/10/2012,5,S1,76.96251592
1/10/2012,6,N1,25.09599363
1/10/2012,6,S1,85.26525159
1/10/2012,7,N1,21.68635669
1/10/2012,7,S1,57.31026115
1/10/2012,8,N1,36.06152229
1/10/2012,8,S1,54.57024204
1/10/2012,9,N1,28.96959554
1/10/2012,9,S1,68.67620064
1/10/2012,10,N1,24.59978662
1/10/2012,10,S1,31.63897134
1/10/2012,11,N1,17.51792038
1/10/2012,11,S1,29.95332166
1/10/2012,12,N1,7.99688535
1/10/2012,12,S1,22.89984395
1/10/2012,13,N1,0.762369427
1/10/2012,13,S1,13.65811783
1/10/2012,14,N1,-2.072971338
1/10/2012,14,S1,10.49587261
1/10/2012,15,N1,-2.493980892
1/10/2012,15,S1,6.283509554
1/10/2012,16,N1,-1.723092357
1/10/2012,16,S1,-1.690764331
1/10/2012,17,N1,-1.622181529
1/10/2012,17,S1,-2.447369427
1/10/2012,18,N1,-1.632442675
1/10/2012,18,S1,-0.354843949
1/10/2012,19,N1,-0.815971338
1/10/2012,19,S1,4.451321656
1/10/2012,20,N1,0.249818471
1/10/2012,20,S1,3.787022293
1/10/2012,21,N1,30.8830414
1/10/2012,21,S1,8.639512739
1/10/2012,22,N1,-0.351563694
1/10/2012,22,S1,13.90511465
1/10/2012,23,N1,-0.799248408
1/10/2012,23,S1,10.48636943
1/10/2012,24,N1,-0.807028662
1/10/2012,24,S1,11.53418153
1/11/2012,1,N1,3.550063694
1/11/2012,1,S1,14.2127707
1/11/2012,2,N1,11.11676752
1/11/2012,2,S1,16.32893631
1/11/2012,3,N1,9.857707006
1/11/2012,3,S1,17.32269108
1/11/2012,4,N1,2.848652866
1/11/2012,4,S1,13.12589809
1/11/2012,5,N1,3.655824841
1/11/2012,5,S1,11.97842357
1/11/2012,6,N1,1.203796178
1/11/2012,6,S1,8.135187898
1/11/2012,7,N1,-1.018165605
1/11/2012,7,S1,4.173340764
1/11/2012,8,N1,-0.062493631
1/11/2012,8,S1,5.885971338
1/11/2012,9,N1,3.316133758
1/11/2012,9,S1,6.22994586
1/11/2012,10,N1,3.018573248
1/11/2012,10,S1,5.718047771
1/11/2012,11,N1,0.584742038
1/11/2012,11,S1,11.7416465
1/11/2012,12,N1,-0.644964968
1/11/2012,12,S1,15.09822611
1/11/2012,13,N1,1.810092357
1/11/2012,13,S1,14.32876752
1/11/2012,14,N1,1.337929936
1/11/2012,14,S1,18.40908599
1/11/2012,15,N1,0.106248408
1/11/2012,15,S1,19.96650637
1/11/2012,16,N1,-0.36460828
1/11/2012,16,S1,20.36446497
1/11/2012,17,N1,-1.554582803
