RDATE,X2
1/1/2012,47365.6051
1/2/2012,48127.07006
1/3/2012,54601.27389
1/4/2012,74656.36943
1/5/2012,87156.6879
1/6/2012,100811.7834
1/7/2012,75496.49682
1/8/2012,89002.86624
1/9/2012,59700.95541
1/10/2012,55801.91083
1/11/2012,64844.58599
1/12/2012,69787.89809
1/13/2012,37906.6879
1/14/2012,44400
1/15/2012,49031.21019
1/16/2012,50068.15287
1/17/2012,52394.58599
1/18/2012,53425.15924
1/19/2012,98933.43949
1/20/2012,73443.3121
1/21/2012,72350
1/22/2012,53182.80255
1/23/2012,52140.44586
1/24/2012,43480.25478
1/25/2012,49610.50955
1/26/2012,51279.93631
1/27/2012,44771.65605
1/28/2012,45965.28662
1/29/2012,43790.44586
1/30/2012,37837.26115
1/31/2012,52588.21656
2/1/2012,50677.07006
2/2/2012,64464.96815
2/3/2012,55929.93631
2/4/2012,47330.89172
2/5/2012,46341.71975
2/6/2012,48630.57325
2/7/2012,58818.15287
2/8/2012,63991.40127
2/9/2012,53899.68153
2/10/2012,47540.12739
2/11/2012,41505.41401
2/12/2012,32228.02548
2/13/2012,32344.26752
2/14/2012,36000.63694
2/15/2012,53889.17197
2/16/2012,58151.91083
2/17/2012,54938.21656
2/18/2012,59914.33121
2/19/2012,39357.96178
2/20/2012,53573.24841
2/21/2012,43877.70701
2/22/2012,51657.96178
2/23/2012,62409.87261
2/24/2012,50362.73885
2/25/2012,53619.42675
2/26/2012,51989.17197
2/27/2012,51565.28662
2/28/2012,60417.19745
2/29/2012,68674.52229
3/1/2012,58618.47134
3/2/2012,47405.73248
3/3/2012,47714.64968
3/4/2012,43020.38217
3/5/2012,61800.95541
3/6/2012,69932.48408
3/7/2012,57551.27389
3/8/2012,66583.75796
3/9/2012,54970.70064
3/10/2012,57480.89172
3/11/2012,64436.6242
3/12/2012,48262.73885
3/13/2012,35797.13376
3/14/2012,54138.53503
3/15/2012,70995.85987
3/16/2012,73248.08917
3/17/2012,65417.83439
3/18/2012,60134.07643
3/19/2012,40425.47771
3/20/2012,46850
3/21/2012,55624.20382
3/22/2012,50321.33758
3/23/2012,60383.12102
3/24/2012,54689.49045
3/25/2012,48775.47771
3/26/2012,27198.72611
3/27/2012,24480.57325
3/28/2012,41532.80255
3/29/2012,32184.71338
3/30/2012,25388.21656
3/31/2012,24158.59873
4/1/2012,35305.73248
4/2/2012,42664.96815
4/3/2012,18897.7707
4/4/2012,24360.82803
4/5/2012,34046.17834
4/6/2012,47289.17197
4/7/2012,29630.57325
4/8/2012,40155.09554
4/9/2012,17201.91083
4/10/2012,12048.72611
4/11/2012,38119.74522
4/12/2012,35678.02548
4/13/2012,26521.33758
4/14/2012,32492.99363
4/15/2012,34731.21019
4/16/2012,36758.59873
4/17/2012,26733.12102
4/18/2012,26936.30573
4/19/2012,21770.06369
4/20/2012,18772.29299
4/21/2012,21326.43312
4/22/2012,9201.592357
4/23/2012,3759.872611
4/24/2012,9695.22293
4/25/2012,12864.01274
4/26/2012,15921.65605
4/27/2012,22354.4586
4/28/2012,19537.26115
4/29/2012,18369.74522
4/30/2012,36042.99363
5/1/2012,39059.87261
5/2/2012,45069.10828
5/3/2012,19757.00637
5/4/2012,11591.71975
5/5/2012,10242.67516
5/6/2012,18259.87261
5/7/2012,14525.79618
5/8/2012,15485.98726
5/9/2012,13507.64331
5/10/2012,27806.6879
5/11/2012,22119.74522
5/12/2012,40990.76433
5/13/2012,34446.49682
5/14/2012,33232.80255
5/15/2012,67157.96178
5/16/2012,72936.30573
5/17/2012,56605.41401
5/18/2012,53968.47134
5/19/2012,52003.18471
5/20/2012,50396.81529
5/21/2012,85244.58599
5/22/2012,59427.70701
5/23/2012,75060.82803
5/24/2012,20026.75159
5/25/2012,25681.21019
5/26/2012,72431.84713
5/27/2012,75855.41401
5/28/2012,61408.9172
5/29/2012,49222.61146
5/30/2012,51130.57325
5/31/2012,72118.15287
6/1/2012,65125.15924
6/2/2012,66585.35032
6/3/2012,80654.14013
6/4/2012,70187.26115
6/5/2012,50507.64331
6/6/2012,61371.33758
6/7/2012,58807.96178
6/8/2012,60149.36306
6/9/2012,46866.24204
6/10/2012,50638.53503
6/11/2012,47306.36943
6/12/2012,13036.94268
6/13/2012,24442.67516
6/14/2012,31780.89172
6/15/2012,27240.76433
6/16/2012,38488.21656
6/17/2012,47753.50318
6/18/2012,59200.31847
6/19/2012,112772.6115
6/20/2012,188622.9299
6/21/2012,131596.8153
6/22/2012,107784.3949
6/23/2012,84820.70064
6/24/2012,50532.48408
6/25/2012,76957.00637
6/26/2012,87875.47771
6/27/2012,110638.535
6/28/2012,115060.5096
6/29/2012,92784.3949
6/30/2012,96513.05732
7/1/2012,62405.09554
7/2/2012,49892.99363
7/3/2012,48634.07643
7/4/2012,35750.95541
7/5/2012,46152.86624
7/6/2012,55114.64968
7/7/2012,39432.80255
7/8/2012,43071.65605
7/9/2012,41002.86624
7/10/2012,18397.45223
7/11/2012,45635.03185
7/12/2012,56120.06369
7/13/2012,74254.14013
7/14/2012,72030.89172
7/15/2012,55301.91083
7/16/2012,51142.99363
7/17/2012,39567.83439
7/18/2012,51477.38854
7/19/2012,76046.81529
7/20/2012,96784.07643
7/21/2012,127086.9427
7/22/2012,110421.0191
7/23/2012,102087.5796
7/24/2012,118375.7962
7/25/2012,131570.3822
7/26/2012,156391.7197
7/27/2012,183194.586
7/28/2012,178714.3312
7/29/2012,182632.8025
7/30/2012,109767.8344
7/31/2012,55163.3758
8/1/2012,57764.64968
8/2/2012,74901.91083
8/3/2012,67582.80255
8/4/2012,68287.26115
8/5/2012,59356.05096
8/6/2012,56422.92994
8/7/2012,50524.84076
8/8/2012,61214.96815
8/9/2012,66884.07643
8/10/2012,71719.74522
8/11/2012,87629.93631
8/12/2012,123810.5096
8/13/2012,126041.7197
8/14/2012,137231.5287
8/15/2012,139486.3057
8/16/2012,221757.3248
8/17/2012,161064.6497
8/18/2012,195446.4968
8/19/2012,145069.4268
8/20/2012,103049.6815
8/21/2012,98650.95541
8/22/2012,94034.07643
8/23/2012,67953.50318
8/24/2012,63757.96178
8/25/2012,76817.51592
8/26/2012,54870.70064
8/27/2012,39734.3949
8/28/2012,62810.82803
8/29/2012,91706.05096
8/30/2012,117364.0127
8/31/2012,111091.7197
9/1/2012,71303.50318
9/2/2012,61830.57325
9/3/2012,42685.66879
9/4/2012,25812.10191
